,k,F,avg_profit
0,4,0.0,264.8983334
1,4,0.2,310.8716668
2,4,0.4,377.96
3,4,0.6,340.245
4,4,0.8,359.4416668
5,4,1.1,362.065
6,4,1.3,373.9633333
7,4,1.5,225.6816668
8,4,1.7,343.22333349999997
9,4,2.0,369.67166669999995
10,8,0.0,363.4433333
11,8,0.2,352.73666660000004
12,8,0.4,309.20499989999996
13,8,0.6,394.5200002
14,8,0.8,368.8316666
15,8,1.1,389.19500009999996
16,8,1.3,374.03333339999995
17,8,1.5,386.2216668
18,8,1.7,368.0133334
19,8,2.0,340.6083332
20,16,0.0,279.76166670000003
21,16,0.2,355.95333339999996
22,16,0.4,351.9366667
23,16,0.6,370.26833320000003
24,16,0.8,296.3533333
25,16,1.1,358.11
26,16,1.3,306.4399999
27,16,1.5,321.3933334
28,16,1.7,349.9116667
29,16,2.0,315.9566667
30,32,0.0,372.37333329999996
31,32,0.2,342.7199999
32,32,0.4,400.06166669999993
33,32,0.6,342.3566668
34,32,0.8,300.1783334
35,32,1.1,399.6983333
36,32,1.3,343.35000010000005
37,32,1.5,364.8949999
38,32,1.7,331.63333329999995
39,32,2.0,315.4933334
40,64,0.0,309.29499989999994
41,64,0.2,370.1583333
42,64,0.4,242.7833334
43,64,0.6,411.15166669999996
44,64,0.8,360.5016665
45,64,1.1,324.7583333
46,64,1.3,304.38333350000005
47,64,1.5,311.4949999
48,64,1.7,367.3916666
49,64,2.0,385.0499999
50,128,0.0,366.775
51,128,0.2,379.87166670000005
52,128,0.4,261.0316667
53,128,0.6,344.3599999
54,128,0.8,353.28333330000004
55,128,1.1,337.75833320000004
56,128,1.3,267.63
57,128,1.5,259.02333340000007
58,128,1.7,344.99666670000005
59,128,2.0,406.0766667
60,256,0.0,305.11499999999995
61,256,0.2,357.9466667
62,256,0.4,221.55666649999998
63,256,0.6,297.11666660000003
64,256,0.8,374.9666667
65,256,1.1,295.27666659999994
66,256,1.3,355.0233332000001
67,256,1.5,287.01166670000003
68,256,1.7,337.72833330000003
69,256,2.0,377.9466667
70,512,0.0,386.7016668
71,512,0.2,285.4400001
72,512,0.4,311.6816666
73,512,0.6,391.5816667
74,512,0.8,358.21
75,512,1.1,363.945
76,512,1.3,355.6866667
77,512,1.5,327.22999989999994
78,512,1.7,278.6633335
79,512,2.0,383.3899999
80,1024,0.0,378.95500000000004
81,1024,0.2,358.2650001
82,1024,0.4,374.0766665
83,1024,0.6,381.6816666
84,1024,0.8,371.0033334
85,1024,1.1,350.3316666
86,1024,1.3,266.6116666
87,1024,1.5,364.9483333
88,1024,1.7,373.9133333
89,1024,2.0,384.54833329999997
